id,make,model,model_year,vin
1,Mitsubishi,Galant,1999,WBAYB6C56DD390248
2,Volkswagen,Golf,1996,JN8AE2KP0E9005864
3,Renault,Alliance,1983,WAULFAFR8AA020447
4,Cadillac,DeVille,2005,1G6DW677960075006
5,Nissan,Altima,2004,WAUJC68E55A817588
6,Volvo,850,1995,1N4AL2AP8AC068099
7,Pontiac,LeMans,1964,JH4CU2F88CC616413
8,Ford,Club Wagon,1995,5N1AA0NC2FN767473
9,Hyundai,Elantra,2005,ZFBCFAAH9EZ195253
10,Ford,Explorer Sport Trac,2008,4F2CY0C7XBK880582
11,Dodge,Caravan,1994,1G4GC5EC1BF481121
12,BMW,545,2005,1G6AA5RA6E0692012
13,BMW,M6,2008,2G4G15GV7B9595346
14,Mercedes-Benz,C-Class,1994,1GYS4FEJ5DR527173
15,Isuzu,Trooper,2000,KMHEC4A42EA174042
16,Mazda,B-Series,2004,19UUA65696A438986
17,Maybach,Landaulet,2012,YV4952CF9D1569317
18,Audi,S5,2010,WAUKFAFL5EA443225
19,Chevrolet,Venture,2005,1G6KD57Y49U630750
20,Volkswagen,Golf,1988,WAUHF78P29A107177
21,Ford,Taurus,2012,SCFHDDAT9EG002286
22,Mercedes-Benz,GL-Class,2007,1FTEX1CW7AK956344
23,Chevrolet,Malibu,2002,WAUSH74F78N416521
24,Mercury,Grand Marquis,1999,KNALN4D77E5342419
25,Volvo,C70,2009,SCBGT3ZA3FC276136
26,Nissan,Altima,2002,3GYFNJE37DS559414
27,Acura,TL,2005,4USDU53477L738060
28,GMC,Sierra 3500,2000,WAUDH94F47N090826
29,Cadillac,DeVille,1997,1FTSX2B54AE804750
30,Ford,F250,1993,3D4PG4FB9AT438890
31,Mercury,Mountaineer,2008,1G6DJ5EG7A0469916
32,Mercedes-Benz,E-Class,2011,5FRYD3H98GB326764
33,Subaru,Legacy,2002,5UXWZ7C57F0766265
34,Kia,Soul,2010,JTDJTUD31DD681548
35,Geo,Metro,1994,SCFEBBAK5DG482328
36,Ford,Econoline E350,2002,5YMGY0C56AL361092
37,Ford,LTD Crown Victoria,1990,WAU3VAFR6CA287091
38,Mercedes-Benz,W201,1992,3C4PDDEG8DT918071
39,Hyundai,Elantra,1999,5TDDK3DC9ES163624
40,Chrysler,300C,2005,WBAKF5C50DE814750
41,Buick,Regal,1998,WBABD334X5J567960
42,GMC,Savana 1500,2005,WBAUC9C50CV885020
43,Maserati,Quattroporte,1984,1GYS3JEF8CR999013
44,Bentley,Continental,2005,WAULC58E64A098174
45,Volkswagen,Golf,1985,1N4AA5AP0AC608326
